,0
car_age,0.2403972897117292
is_luxury,0.18889408447999848
km_driven,0.1709241150263011
brand_enc,0.13891873465382715
km_driven_log,0.09447388277540364
brand_avg_price,0.08597922924731373
power_bhp,0.02742320237091319
transmission_enc,0.015724073642141175
fuel_type_enc,0.014442384073025477
engine_cc,0.006323153350214483
owner_type_enc,0.00524417725883961
km_per_year,0.0033245638818447934
model_enc,0.003166558289478745
power_per_cc,0.002653660034133145
mileage_kmpl,0.0015236604292694397
location_enc,0.00044244467677125943
seats,0.00014478609879541737
